owner	field	type	class	reads	writes	evidence
ABRTCMC	address	byte	VALUE	5	3	primitive
ABRTCMC	addressAutoIncrement	bool	VALUE	1	1	primitive
ABRTCMC	isFirstByte	bool	VALUE	1	3	primitive
ABRTCMC	isSecondByte	bool	VALUE	1	4	primitive
ABRTCMC	twelveOrTwentyFourHourMode	IFlagRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
ADCChannel	bufferedSamples	IEnumerable	BACKREF	2	5	static: interface-typed, implementation outside cut
ADCChannel	channelId	int	VALUE	1	1	primitive
ADCChannel	currentSample	uint	VALUE	2	2	primitive
ADCChannel	lockObject	object	VALUE	5	0	primitive
ADCChannel	parent	IPeripheral	SHARED	1	1	static: 1 writes, 1 reads
ADCChannel	samples	Queue	VALUE	6	1	static: maps to std::collections::VecDeque<u32>
ADCChannelSource	defaultSample	VoltageSample	SHARED	2	4	static: 4 writes, 2 reads
ADCChannelSource	resdStream	VoltageSample>	UNKNOWN	5	3	static: `VoltageSample>` not classified
ADCChannelSource	resetSample	VoltageSample	SHARED	1	2	static: 2 writes, 1 reads
ADXL345	bufferedSamples	Sample>	UNKNOWN	2	3	static: `Sample>` not classified
ADXL345	currentSample	Sample	VALUE	7	2	enum or struct -- copied, not referenced
ADXL345	fullResolution	bool	VALUE	6	2	primitive
ADXL345	lastRegister	Registers	VALUE	8	3	enum or struct -- copied, not referenced
ADXL345	range	Range	VALUE	6	2	enum or struct -- copied, not referenced
ADXL345	samplesFifo	Sample>	UNKNOWN	14	1	static: `Sample>` not classified
ADXL345	samplesFifoEmptied	Action	CALLBACK	5	2	delegate slot -- Option<Box<dyn FnMut>>
ADXL372	address	byte	VALUE	6	7	primitive
ADXL372	chipSelected	bool	VALUE	2	2	primitive
ADXL372	state	State	VALUE	5	5	enum or struct -- copied, not referenced
AESServiceProvider	bus	IBusController	SHARED	3	1	static: 1 writes, 3 reads
AESServiceProvider	manager	InternalMemoryManager	SHARED	14	1	static: 1 writes, 14 reads
AESServiceProvider	segment	byte	VALUE	2	4	primitive
AFESample	innerPacket	int	VALUE	5	2	primitive
AFESampleFIFO	currentSampleEnumerator	IEnumerator	BACKREF	3	1	static: interface-typed, implementation outside cut
AFESampleFIFO	parent	MAX86171	SHARED	6	1	static: 1 writes, 6 reads
AFESampleFIFO	samples	AFESample>	UNKNOWN	6	1	static: `AFESample>` not classified
AFESampleFrame	samples	AFESample	VALUE	11	1	enum or struct -- copied, not referenced
AIC	CurrentIRQ	int	VALUE	12	3	primitive
AIC	interruptMaskRegister	uint	VALUE	1	2	primitive
AIC	interruptPendingRegister	uint	VALUE	6	0	primitive
AIC	level	bool	VALUE	5	0	primitive
AIC	localLock	object	VALUE	3	0	primitive
AIC	nestedInterruptStack	Tuple	UNKNOWN	3	0	static: `Tuple` not classified
AIC	sourceModeRegisters	uint	VALUE	4	0	primitive
AIC	sourceVectorRegisters	uint	VALUE	2	0	primitive
AIC	spouriousInterruptVectorRegister	uint	VALUE	1	1	primitive
AINTC	bestFiq	int	VALUE	2	2	primitive
AINTC	bestIrq	int	VALUE	2	2	primitive
AINTC	entryTableBaseAddress	uint	VALUE	3	2	primitive
AINTC	interruptOperationControl	DoubleWordRegister	SHARED	6	1	static: 1 writes, 6 reads
AINTC	interruptPriorityRegisterCollection	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
AINTC	interrupts	InterruptStatus	VALUE	18	1	enum or struct -- copied, not referenced
AINTC	priorities	IValueRegisterField	ARENA	6	1	register handle -- D2 makes it a typed arena index
AINTC	reflectMaskedFiq	IFlagRegisterField	ARENA	1	1	register handle -- D2 makes it a typed arena index
AINTC	reflectMaskedIrq	IFlagRegisterField	ARENA	1	1	register handle -- D2 makes it a typed arena index
AK0991x	magResdStream	MagneticSample>	UNKNOWN	5	2	static: `MagneticSample>` not classified
AK0991x	mode	Mode>	UNKNOWN	2	0	static: `Mode>` not classified
AK0991x	selectedRegister	Registers	VALUE	8	4	enum or struct -- copied, not referenced
AK0991x	state	State	VALUE	2	4	enum or struct -- copied, not referenced
AMDCFIFlash	alternateManufacturerId	ushort	VALUE	1	1	primitive
AMDCFIFlash	autoselectData	byte	VALUE	1	1	primitive
AMDCFIFlash	backingFiles	BackingFile>	UNKNOWN	2	0	static: `BackingFile>` not classified
AMDCFIFlash	bankSectorSizes	List	VALUE	9	2	static: maps to Vec<Vec<i64>>
AMDCFIFlash	cfiData	byte	VALUE	3	1	primitive
AMDCFIFlash	deviceId	uint	VALUE	3	1	primitive
AMDCFIFlash	interleave	int	VALUE	5	1	primitive
AMDCFIFlash	manufacturerId	ushort	VALUE	2	1	primitive
AMDCFIFlash	readMemoryDoubleWord	Func	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	readMemoryWord	Func	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	sectorRegions	SectorRegion	SHARED	9	1	static: 1 writes, 9 reads
AMDCFIFlash	sectorSizes	long	VALUE	3	1	primitive
AMDCFIFlash	sectorStarts	long	VALUE	1	1	primitive
AMDCFIFlash	state	State	VALUE	10	10	enum or struct -- copied, not referenced
AMDCFIFlash	underlyingMemory	MappedMemory	SHARED	6	1	static: 1 writes, 6 reads
AMDCFIFlash	unlockCycle	int	VALUE	3	8	primitive
AMDCFIFlash	writeMemoryDoubleWord	Action	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	writeMemoryWord	Action	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
APICMessageHelper	apicPeripheral	IAPICPeripheral	SHARED	4	1	static: 1 writes, 4 reads
APICMessageHelper	cachedIOAPICs	IOAPIC>	BACKREF	1	1	static: interface-typed, implementation outside cut
APICMessageHelper	cachedLAPICs	LAPIC>	UNKNOWN	1	1	static: `LAPIC>` not classified
APICMessageHelper	isCachePresent	bool	VALUE	2	1	primitive
AR1021	currentRetValue	byte	VALUE	2	4	primitive
AR1021	points	TouchedPoint	VALUE	17	0	enum or struct -- copied, not referenced
AR1021	pressed	bool	VALUE	1	3	primitive
AR1021	readItAlready	bool	VALUE	1	4	primitive
AR1021	readQueue	Queue	VALUE	4	0	static: maps to std::collections::VecDeque<Vec<u8>>
ARMCPRegInfo	AccessFunction	nint	VALUE	0	0	static: maps to isize
ARMCPRegInfo	Coprocessor	uint	VALUE	1	0	primitive
ARMCPRegInfo	Crm	byte	VALUE	1	0	primitive
ARMCPRegInfo	Crn	byte	VALUE	1	0	primitive
ARMCPRegInfo	FieldOffset	uint	VALUE	0	0	primitive
ARMCPRegInfo	IsDynamic	bool	VALUE	0	0	primitive
ARMCPRegInfo	Name	nint	VALUE	1	0	static: maps to isize
ARMCPRegInfo	Op0	byte	VALUE	1	0	primitive
ARMCPRegInfo	Op1	byte	VALUE	1	0	primitive
ARMCPRegInfo	Op2	byte	VALUE	1	0	primitive
ARMCPRegInfo	ReadFunction	nint	VALUE	0	0	static: maps to isize
ARMCPRegInfo	ResetValue	ulong	VALUE	0	0	primitive
ARMCPRegInfo	Type	uint	VALUE	2	0	primitive
ARMCPRegInfo	WriteFunction	nint	VALUE	0	0	static: maps to isize
ARM_AHB_GPIO	alternateFunctionResetValue	uint	VALUE	1	1	primitive
ARM_AHB_GPIO	hasDedicatedIRQs	bool	VALUE	1	1	primitive
ARM_AHB_GPIO	interruptEnabled	bool	VALUE	6	0	primitive
ARM_AHB_GPIO	interruptPolarity	InterruptPolarity	VALUE	5	0	enum or struct -- copied, not referenced
ARM_AHB_GPIO	interruptStatus	bool	VALUE	5	0	primitive
ARM_AHB_GPIO	interruptType	InterruptType	VALUE	8	0	enum or struct -- copied, not referenced
ARM_AHB_GPIO	pinAlternateFunctionEnabled	bool	VALUE	5	0	primitive
ARM_AHB_GPIO	pinOutputEnabled	bool	VALUE	8	0	primitive
ARM_AHB_GPIO	pullEnable	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_AHB_GPIO	pullUpDown	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_AHB_GPIO	softReset	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_GenericInterruptController	ackControl	bool	VALUE	3	2	primitive
ARM_GenericInterruptController	affinityRoutingEnabledNonSecure	bool	VALUE	2	2	primitive
ARM_GenericInterruptController	affinityRoutingEnabledSecure	bool	VALUE	2	1	primitive
ARM_GenericInterruptController	affinityToIdMask	uint	VALUE	2	2	primitive
ARM_GenericInterruptController	automaticallyConnectedGPIOs	IGPIO>	BACKREF	3	0	static: interface-typed, implementation outside cut
ARM_GenericInterruptController	busController	IBusController	SHARED	1	1	static: 1 writes, 1 reads
ARM_GenericInterruptController	cpuEntries	CPUEntry>	UNKNOWN	17	0	static: `CPUEntry>` not classified
ARM_GenericInterruptController	cpuInterfaceRegisters	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersDisabledSecurityView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersNonSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
