owner	field	type	class	reads	writes	evidence
ActualLogger	aggregateLogs	bool	VALUE	3	1	primitive
ActualLogger	aggregationFlushLock	object	VALUE	2	1	primitive
ActualLogger	alwaysAppendMachineName	bool	VALUE	1	1	primitive
ActualLogger	cancellationToken	CancellationTokenSource	UNKNOWN	2	1	static: `CancellationTokenSource` not classified
ActualLogger	entries	LogEntry>	UNKNOWN	3	2	static: `LogEntry>` not classified
ActualLogger	innerLock	object	VALUE	3	1	primitive
ActualLogger	lastLoggedEntry	LogEntry	UNKNOWN	3	1	static: `LogEntry` not classified
ActualLogger	logAggregatorTimer	Timer	UNKNOWN	2	2	static: `Timer` not classified
ActualLogger	logSourcesMap	LogSourcesMap	SHARED	3	1	static: 1 writes, 3 reads
ActualLogger	loggingThread	Thread	UNKNOWN	5	2	static: `Thread` not classified
ActualLogger	nextNameId	int	VALUE	1	1	primitive
ActualLogger	repeatLogEntryCount	int	VALUE	3	2	primitive
ActualLogger	stopThread	bool	VALUE	1	1	primitive
ActualLogger	useSynchronousLogging	bool	VALUE	2	1	primitive
AlarmConfig	day	int	VALUE	1	2	primitive
AlarmConfig	daysMask	bool	VALUE	1	2	primitive
AlarmConfig	enable	bool	VALUE	1	2	primitive
AlarmConfig	flag	bool	VALUE	1	3	primitive
AlarmConfig	hour	int	VALUE	1	2	primitive
AlarmConfig	hoursMask	bool	VALUE	1	2	primitive
AlarmConfig	interruptEnable	bool	VALUE	1	2	primitive
AlarmConfig	masterTimer	TimerConfig	SHARED	4	1	static: 1 writes, 4 reads
AlarmConfig	minute	int	VALUE	1	2	primitive
AlarmConfig	minutesMask	bool	VALUE	1	2	primitive
AlarmConfig	parent	STM32F4_RTC	SHARED	7	1	static: 1 writes, 7 reads
AlarmConfig	pm	bool	VALUE	1	2	primitive
AlarmConfig	second	int	VALUE	1	2	primitive
AlarmConfig	secondsMask	bool	VALUE	1	2	primitive
AlarmConfig	subsecond	int	VALUE	1	2	primitive
AlarmConfig	subsecondsMask	uint	VALUE	1	2	primitive
BackendSourceIdPair	Backend	ILoggerBackend	BACKREF	1	1	static: interface-typed, implementation outside cut
BackendSourceIdPair	SourceId	int	VALUE	0	1	primitive
BackendState	LogLevel	LogLevel	UNKNOWN	2	1	static: `LogLevel` not classified
BackendState	PeripheralsCustomLogLevel	LogLevel>>	UNKNOWN	4	1	static: `LogLevel>>` not classified
BaseClockSource	clockEntries	ClockEntry>	UNKNOWN	30	1	static: `ClockEntry>` not classified
BaseClockSource	clockEntriesUpdateHandlers	UpdateHandlerDelegate>	UNKNOWN	8	1	static: `UpdateHandlerDelegate>` not classified
BaseClockSource	elapsed	TimeInterval	VALUE	3	3	enum or struct -- copied, not referenced
BaseClockSource	nearestLimitIn	TimeInterval	VALUE	8	3	enum or struct -- copied, not referenced
BaseClockSource	reupdateNeeded	ThreadLocal	UNKNOWN	3	1	static: `ThreadLocal` not classified
BaseClockSource	skipAdvancesHigherThanNearestLimit	bool	VALUE	2	1	primitive
BaseClockSource	sync	object	VALUE	14	1	primitive
BaseClockSource	toNotify	Action>	VALUE	3	1	static: maps to Vec<Option<Box<dyn FnMut()>>>
BaseClockSource	totalElapsed	TimeInterval	VALUE	1	1	enum or struct -- copied, not referenced
BaseClockSource	unaccountedTimes	TimeInterval>	UNKNOWN	10	1	static: `TimeInterval>` not classified
BaseClockSource	updateAlreadyInProgress	ThreadLocal	UNKNOWN	7	1	static: `ThreadLocal` not classified
BaseGPIOPort	NumberOfConnections	int	VALUE	2	1	primitive
BaseGPIOPort	State	bool	VALUE	9	1	primitive
BaseGPIOPort	machine	IMachine	SHARED	6	1	static: 1 writes, 6 reads
BaseRegisterCollection	afterReadHooks	Func	CALLBACK	5	1	delegate slot -- Option<Box<dyn FnMut>>
BaseRegisterCollection	afterWriteHooks	Action	CALLBACK	5	1	delegate slot -- Option<Box<dyn FnMut>>
BaseRegisterCollection	beforeReadHooks	Func	CALLBACK	5	1	delegate slot -- Option<Box<dyn FnMut>>
BaseRegisterCollection	beforeWriteHooks	Func	CALLBACK	5	1	delegate slot -- Option<Box<dyn FnMut>>
BaseRegisterCollection	parent	IPeripheral	SHARED	4	1	static: 1 writes, 4 reads
BaseRegisterCollection	registers	RegisterSelector	SHARED	10	1	static: 1 writes, 10 reads
BasicBytePeripheral	machine	IMachine	SHARED	0	1	static: 1 writes, 0 reads
BasicBytePeripheral	sysbus	IBusController	SHARED	0	1	static: 1 writes, 0 reads
BasicDoubleWordPeripheral	machine	IMachine	SHARED	5	1	static: 1 writes, 5 reads
BasicDoubleWordPeripheral	mapper	RegisterMapper	ARENA	1	1	the bank's offset mapping; elided
BasicDoubleWordPeripheral	sysbus	IBusController	SHARED	0	1	static: 1 writes, 0 reads
BitBanding	peripheralBase	ulong	VALUE	1	1	primitive
BitBanding	sysbus	IBusController	SHARED	9	1	static: 1 writes, 9 reads
BitConcatenator	bs	BitStream	UNKNOWN	3	0	static: `BitStream` not classified
BitConcatenator	maxHeight	int	VALUE	2	1	primitive
BitTimingRegister	LoopbackMode	bool	VALUE	2	1	primitive
BitTimingRegister	RegValue	uint	VALUE	1	1	primitive
BitTimingRegister	SilentMode	bool	VALUE	1	1	primitive
CANMessage	CAN_RDTR	uint	VALUE	4	2	primitive
CANMessage	CAN_RHR	uint	VALUE	3	6	primitive
CANMessage	CAN_RIR	uint	VALUE	11	3	primitive
CANMessage	CAN_RLR	uint	VALUE	3	6	primitive
CANMessage	DLC	uint	VALUE	5	3	primitive
CANMessage	Data	byte	VALUE	12	3	primitive
CANMessage	EXID	uint	VALUE	3	2	primitive
CANMessage	FilterMatchIndex	uint	VALUE	1	2	primitive
CANMessage	IDE	uint	VALUE	3	2	primitive
CANMessage	RTR	uint	VALUE	3	2	primitive
CANMessage	RxFifo	uint	VALUE	4	2	primitive
CANMessage	STID	uint	VALUE	4	2	primitive
CANMessage	TimeStamp	uint	VALUE	1	2	primitive
CaptureCompareChannel	CapturedValue	uint	VALUE	1	1	primitive
CaptureCompareChannel	CompareMode	OutputCompareMode>	UNKNOWN	4	0	static: `OutputCompareMode>` not classified
CaptureCompareChannel	ComplementaryPolarity	IFlagRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
CaptureCompareChannel	Connection	GPIO	SHARED	24	1	static: 1 writes, 24 reads
CaptureCompareChannel	EdgeCounter	int	VALUE	1	3	primitive
CaptureCompareChannel	Index	int	VALUE	1	1	primitive
CaptureCompareChannel	InterruptEnable	bool	VALUE	7	2	primitive
CaptureCompareChannel	InterruptFlag	bool	VALUE	6	4	primitive
CaptureCompareChannel	Mode	CaptureCompareSelection	VALUE	8	2	enum or struct -- copied, not referenced
